SID,article_number,sharing_type,score
s206,87,msg_share_narrow,91
s208,50,msg_share_narrow,79
s211,69,msg_share_narrow,0
s214,41,msg_share_narrow,90
s216,17,msg_share_narrow,48
s218,51,msg_share_narrow,48
s222,4,msg_share_narrow,62
s224,82,msg_share_narrow,2
s230,33,msg_share_narrow,18
s235,82,msg_share_narrow,88
s237,61,msg_share_narrow,40
s243,69,msg_share_narrow,84
s248,19,msg_share_narrow,92
s250,65,msg_share_narrow,89
s255,50,msg_share_narrow,0
s258,10,msg_share_narrow,100
s260,53,msg_share_narrow,12
s262,53,msg_share_narrow,100
s268,43,msg_share_narrow,94
s273,2,msg_share_narrow,69
s275,58,msg_share_narrow,9
s277,95,msg_share_narrow,97
s279,30,msg_share_narrow,82
s281,0,msg_share_narrow,62
s287,37,msg_share_narrow,3
s292,79,msg_share_narrow,58
s295,103,msg_share_narrow,55
s299,21,msg_share_narrow,100
s301,62,msg_share_narrow,0
s305,94,msg_share_narrow,33
s308,52,msg_share_narrow,85
s313,82,msg_share_narrow,4
s316,77,msg_share_narrow,63
s319,75,msg_share_narrow,87
s321,84,msg_share_narrow,75
s324,76,msg_share_narrow,52
s327,42,msg_share_narrow,72
s329,4,msg_share_narrow,0
s331,76,msg_share_narrow,43
s337,29,msg_share_narrow,3
s344,65,msg_share_narrow,57
s348,99,msg_share_narrow,66
s352,59,msg_share_narrow,92
s358,6,msg_share_narrow,66
s361,26,msg_share_narrow,71
s364,108,msg_share_narrow,83
s371,10,msg_share_narrow,0
s373,9,msg_share_narrow,56
s380,20,msg_share_narrow,0
s387,91,msg_share_narrow,10
s394,18,msg_share_narrow,69
s396,94,msg_share_narrow,100
s400,84,msg_share_narrow,87
s402,38,msg_share_narrow,89
s406,53,msg_share_narrow,5
s412,108,msg_share_narrow,55
s415,61,msg_share_narrow,19
s419,92,msg_share_narrow,7
s421,19,msg_share_narrow,62
s423,5,msg_share_narrow,58
s432,71,msg_share_narrow,6
s435,73,msg_share_narrow,100
s437,101,msg_share_narrow,30
s442,47,msg_share_narrow,76
s445,16,msg_share_narrow,80
s448,35,msg_share_narrow,48
s450,27,msg_share_narrow,0
s454,2,msg_share_narrow,53
s457,34,msg_share_narrow,40
s462,105,msg_share_narrow,22
s466,13,msg_share_narrow,24
s470,48,msg_share_narrow,44
s473,63,msg_share_narrow,59
s478,83,msg_share_narrow,100
s481,18,msg_share_narrow,53
s483,94,msg_share_narrow,20
s487,50,msg_share_narrow,58
s490,46,msg_share_narrow,18
s493,15,msg_share_narrow,11
s495,5,msg_share_narrow,51
s497,77,msg_share_narrow,21
s499,23,msg_share_narrow,40
s504,54,msg_share_narrow,80
s506,103,msg_share_narrow,50
s512,50,msg_share_narrow,0
s514,42,msg_share_narrow,1
s516,97,msg_share_narrow,49
s520,81,msg_share_narrow,0
s526,37,msg_share_narrow,64
s529,76,msg_share_narrow,67
s531,59,msg_share_narrow,8
s533,67,msg_share_narrow,37
s537,33,msg_share_narrow,74
s540,16,msg_share_narrow,78
s543,36,msg_share_narrow,5
s545,95,msg_share_narrow,60
s547,38,msg_share_narrow,65
s551,85,msg_share_narrow,59
s553,3,msg_share_narrow,41
s555,39,msg_share_narrow,50
s559,99,msg_share_narrow,56
s563,58,msg_share_narrow,34
s568,87,msg_share_narrow,100
s571,29,msg_share_narrow,58
s574,15,msg_share_narrow,6
s576,108,msg_share_narrow,12
s578,11,msg_share_narrow,0
s582,35,msg_share_narrow,61
s584,91,msg_share_narrow,64
s588,71,msg_share_narrow,15
s592,83,msg_share_narrow,0
s594,28,msg_share_narrow,77
s598,83,msg_share_narrow,52
s600,93,msg_share_narrow,29
s606,34,msg_share_narrow,66
s610,21,msg_share_narrow,69
s615,33,msg_share_narrow,48
s618,70,msg_share_narrow,16
s620,81,msg_share_narrow,80
s622,43,msg_share_narrow,76
s624,19,msg_share_narrow,91
s627,10,msg_share_narrow,0
s629,25,msg_share_narrow,93
s631,95,msg_share_narrow,0
s635,27,msg_share_narrow,70
s638,69,msg_share_narrow,75
s640,96,msg_share_narrow,86
s001,3,msg_share_broad,34
s003,78,msg_share_broad,0
s005,80,msg_share_broad,87
s009,60,msg_share_broad,50
s012,104,msg_share_broad,63
s015,41,msg_share_broad,79
s018,95,msg_share_broad,15
s020,88,msg_share_broad,0
s024,24,msg_share_broad,11
s028,106,msg_share_broad,85
s031,42,msg_share_broad,93
s036,92,msg_share_broad,5
s038,69,msg_share_broad,10
s041,50,msg_share_broad,91
s043,16,msg_share_broad,1
s046,50,msg_share_broad,95
s049,96,msg_share_broad,84
s052,6,msg_share_broad,14
s054,81,msg_share_broad,42
s056,109,msg_share_broad,47
s058,29,msg_share_broad,48
s063,25,msg_share_broad,0
s065,76,msg_share_broad,100
s067,81,msg_share_broad,9
s069,109,msg_share_broad,0
s072,24,msg_share_broad,72
s074,105,msg_share_broad,93
s076,12,msg_share_broad,1
s079,100,msg_share_broad,79
s081,72,msg_share_broad,1
s083,89,msg_share_broad,82
s085,20,msg_share_broad,1
s089,17,msg_share_broad,46
s092,87,msg_share_broad,51
s095,41,msg_share_broad,0
s099,58,msg_share_broad,11
s101,33,msg_share_broad,8
s104,99,msg_share_broad,82
s108,10,msg_share_broad,8
s111,53,msg_share_broad,70
s113,82,msg_share_broad,16
s115,59,msg_share_broad,42
s117,61,msg_share_broad,65
s119,5,msg_share_broad,0
s121,74,msg_share_broad,4
s123,1,msg_share_broad,23
s125,46,msg_share_broad,0
s127,2,msg_share_broad,45
s132,9,msg_share_broad,0
s134,55,msg_share_broad,71
s137,84,msg_share_broad,100
s140,93,msg_share_broad,0
s143,46,msg_share_broad,38
s146,107,msg_share_broad,3
s149,71,msg_share_broad,93
s151,12,msg_share_broad,58
s155,69,msg_share_broad,100
s157,17,msg_share_broad,86
s160,42,msg_share_broad,63
s163,27,msg_share_broad,70
s167,87,msg_share_broad,0
s170,69,msg_share_broad,81
s177,22,msg_share_broad,30
s184,91,msg_share_broad,58
s186,56,msg_share_broad,50
s189,20,msg_share_broad,14
s192,56,msg_share_broad,57
s194,31,msg_share_broad,9
s196,30,msg_share_broad,75
s198,87,msg_share_broad,81
s201,83,msg_share_broad,34
s204,14,msg_share_broad,14
s206,81,msg_share_broad,91
s208,54,msg_share_broad,83
s211,64,msg_share_broad,0
s214,44,msg_share_broad,69
s216,14,msg_share_broad,0
s218,53,msg_share_broad,51
s222,9,msg_share_broad,45
s224,88,msg_share_broad,1
s230,38,msg_share_broad,48
s235,89,msg_share_broad,89
s237,64,msg_share_broad,58
s243,60,msg_share_broad,50
s248,13,msg_share_broad,87
s250,60,msg_share_broad,92
s255,54,msg_share_broad,0
s258,14,msg_share_broad,100
s260,58,msg_share_broad,5
s262,56,msg_share_broad,99
s268,44,msg_share_broad,100
s273,9,msg_share_broad,64
s275,56,msg_share_broad,19
s277,93,msg_share_broad,100
s279,35,msg_share_broad,83
s281,8,msg_share_broad,50
s287,33,msg_share_broad,7
s292,75,msg_share_broad,2
s295,102,msg_share_broad,13
s299,28,msg_share_broad,100
s301,64,msg_share_broad,1
s305,98,msg_share_broad,0
s308,58,msg_share_broad,71
s313,84,msg_share_broad,3
s316,75,msg_share_broad,0
