SID,article_number,value,Tone,Arousal,sharing_type,sharing
s041,51,"Because it contains a guide to help individuals reduce their carbon footprint. I believe some people that I know want to take part to promote a healthier environment to save our earth from global warming, however, they don't know what to do or where to start.",1,4,msg_share_broad,96
s041,51,"Because it contains a guide to help individuals reduce their carbon footprint. I believe some people that I know want to take part to promote a healthier environment to save our earth from global warming, however, they don't know what to do or where to start.",1,4,msg_share_narrow,96
s041,56,This article is about encouraging people to work out or exercise to promote a healthy body and lifestyle so they can live longer.,1,2,msg_share_broad,79
s041,56,This article is about encouraging people to work out or exercise to promote a healthy body and lifestyle so they can live longer.,1,2,msg_share_narrow,83
s041,58,This article is promoting a heart monitor for people who are afraid of getting a heart attack from High-intensity Interval Training.,1,4,msg_share_narrow,2
s041,58,This article is promoting a heart monitor for people who are afraid of getting a heart attack from High-intensity Interval Training.,1,4,msg_share_broad,3
s041,55,This article is promoting reusable products to replace the disposable products that people might be using.,1,2,msg_share_broad,50
s041,55,This article is promoting reusable products to replace the disposable products that people might be using.,1,2,msg_share_narrow,64
s041,53,This article is providing information on how people are reluctant to buy disaster insurance even though the climate changes had gotten worse by year.,0,2,msg_share_broad,17
s041,53,This article is providing information on how people are reluctant to buy disaster insurance even though the climate changes had gotten worse by year.,0,2,msg_share_narrow,22
s041,54,This article is trying to inform people about the geographical area of people who are at higher risk of getting cancer due to overweight or obesity.,0,2,msg_share_broad,32
s041,54,This article is trying to inform people about the geographical area of people who are at higher risk of getting cancer due to overweight or obesity.,0,2,msg_share_narrow,76
s041,57,This article matters because some people that I know will love to take part in green living but don't know where or how to start.,1,2,msg_share_broad,92
s041,57,This article matters because some people that I know will love to take part in green living but don't know where or how to start.,1,2,msg_share_narrow,96
s041,59,This article matters so people that I know can prepare for their future just in case the area where they're living now will be covered with water in 20 years.,0,4,msg_share_broad,87
s041,59,This article matters so people that I know can prepare for their future just in case the area where they're living now will be covered with water in 20 years.,0,4,msg_share_narrow,93
s041,50,"This article matters to friends and family that I know because it concerns their wellbeing, so they know what type of meat to eat that won't harm their health in long term.",1,2,msg_share_broad,91
s041,50,"This article matters to friends and family that I know because it concerns their wellbeing, so they know what type of meat to eat that won't harm their health in long term.",1,2,msg_share_narrow,96
s043,12,Children need to get out and play. It is important to combat childhood obesity.,1,2,msg_share_broad,1
